
// ================================================================================================================================================================
// General Pool
// ================================================================================================================================================================

---- LW2WotC_ShootAnyone:  Shoot Anyone.
# Shotgun

---- Street Sweeper:  Cone-based shotgun attack that does bonus damage to unarmored targets. Blocked by heavy cover.
= LW2WotC_StreetSweeper
::7   LW2 Assault
# Shotgun

// ================================================================================================================================================================
// Sawed-Off
// ================================================================================================================================================================

---- Point Blank:  Fire your sawed-off shotgun at a nearby enemy.
::-1   LW2 Ranger
# Sawed-Off

---- Both Barrels:  Fire both barrels of sawed-off shotgun at nearby enemy, doing double damage.
::-1   LW2 Ranger
# Sawed-Off

---- Pump Action:  Gain two extra ammo in your sawed-off shotgun.
::2   LW2 Ranger
# Sawed-Off

// ================================================================================================================================================================
// Melee
// ================================================================================================================================================================



---- LW2WotC_IronSkin:  Incoming melee damage is reduced by <Ability:IRON_SKIN_MELEE_DAMAGE_REDUCTION>.
::  LW2WotC Main mod
# Melee

---- LW2WotC_Whirlwind:  If you hit with a melee attack during your turn, gain a bonus move.
::  LW2WotC Main mod
# Melee
* Action

---- MZAbyssalBlade: slash consumes health to inflict severe damage
:: Mitzruti's Perk Pack
# Melee

---- MZBladeDance: slash attacks on every foe in an area
:: Mitzruti's Perk Pack
# Melee

---- MZBlastarPunch: slash inflicts blind+disorient
:: Mitzruti's Perk Pack
# Melee

---- MZBlitzAttack: arcwave-style targeting, slash every target.
:: Mitzruti's Perk Pack
# Melee

---- MZHellcryPunch: slash disables weapon and reduces targets attack power
:: Mitzruti's Perk Pack
# Melee

---- MZMacabreWaltz: attack multiple enemies. costs HP per target.
:: Mitzruti's Perk Pack
# Melee

---- MZShellbustStab: armor-piercing and massive shred slash
:: Mitzruti's Perk Pack
# Melee
* Shred

---- MZAhrimansDemense:  Shadow Thorn becomes aoe, and creates a curse cloud.
:: Mitzruti's Perk Pack
# Melee

---- MZBowlingBash:  Sledgehammer impact deals aoe damage.
:: Mitzruti's Perk Pack
# Melee

---- MZCrimsonTide:  consume HP to for a cleave attack that curses.
:: Mitzruti's Perk Pack
# Melee

---- MZFrostwolfBite:  ranged slash + fuse
:: Mitzruti's Perk Pack
# Melee

---- MZKillingStroke:  consume all HP for a single devastating attack
:: Mitzruti's Perk Pack
# Melee

---- MZShadeScratch:  consume HP for slash with momentum. regain concealment on kill.
:: Mitzruti's Perk Pack
# Melee

---- MZShadowThorn:  consume HP for ranged slash does not break concealment. blind+curse.
:: Mitzruti's Perk Pack
# Melee

---- MZDoubleGrip:  do more damage and pierce armour when using a primary melee and empty secondary
:: Mitzruti's Perk Pack
# Melee

---- MZFullAssault:  powerful multihit melee attack that stuns the user.
:: Mitzruti's Perk Pack
# Melee

---- MZBonecrusher:  retaliate any time damage is taken with a vicious blow.
:: Mitzruti's Perk Pack
# Melee

---- MZSweepingSpin:  radial aoe attack
:: Mitzruti's Perk Pack
# Melee

---- MZBlastWave:  wide line attack, bonus damage based on lowest hp reached in battle.
:: Mitzruti's Perk Pack
# Melee



---- MZPowerCrush:  melee attack ruptures and disorients target.
:: Mitzruti's Perk Pack
# Shield
# Melee

---- MZMindCrush:  melee attack shatters will and hack def, also disorients.
:: Mitzruti's Perk Pack
# Shield
# Melee

---- MZShieldCharge:  knockback and disorient target. Automatically activate shieldwall afterword.
:: Mitzruti's Perk Pack
# Shield
# Melee

---- MZEn Garde:  bladestorm that also disorients. only triggers during shieldwall.
:: Mitzruti's Perk Pack
# Shield
# Melee

---- MZLifethreadBlade:  double acid slash. zombify and lure.
:: Mitzruti's Perk Pack
# Melee

---- MZReblossom:  make a bladestorm attack against enemies that survive your melee attacks.
:: Mitzruti's Perk Pack
# Melee

---- MZRollingCutter:  slash doesn't end turn. cannot crit. shares target/turn
:: Mitzruti's Perk Pack
# Melee

---- MZShimmeringBlade:  double fire slash. each strike may confuse.
:: Mitzruti's Perk Pack
# Melee

---- MZSkyfuryBlade:  double electric slash. each strike may panic.
:: Mitzruti's Perk Pack
# Melee

---- MZBladeRave:  3-swing flurry of attacks. woefully inaccurate.
:: Mitzruti's Perk Pack
# Melee

---- MZBurialBlade:  slash attack. refunds AP cost if lethal.
:: Mitzruti's Perk Pack
# Melee

---- MZDashingMomentum:  when spending two or more AP on a turn ending melee attack, gain a momentum AP.
:: Mitzruti's Perk Pack
# Melee

---- MZDeadCutter:  slash attack. refunds AP cost if lethal. Undead only, 1/turn.
:: Mitzruti's Perk Pack
# Melee

---- Cutthroat:  Your melee attacks against biological enemies ignore their armor, have a +15 critical chance, and do +2 critical damage.
== LW2WotC_Cutthroat
::3  LW2 Shinobi
# Melee

---- Reaper:  A devastating chain melee attack where the first melee attack cannot miss. Each melee kill in Reaper mode grants an extra action, but further melee attacks have reduced damage.
::5  LW2 Shinobi


---- Whirlwind:  If you hit with a melee attack during your turn, gain a bonus move.
::6  LW2 Shinobi

---- Strike:  Attack any enemy within movement range with a powerful melee attack.
::3   SPARK

// ================================================================================================================================================================
// Sniper
// @ Flash
// @ Sci-Fi
// @ Low-Light
// @ Snow Job
// ================================================================================================================================================================

---- Squadsight:  You can target enemies within squadmates' sight, provided there is line of sight to the target.
::0   LW2 Sharpshooter
# Sniper
@ Snow Job
@ Low-Light
@ Flash
@ Sci-Fi

---- Long Watch:  Allow Overwatch to trigger with Squadsight.
::4   LW2 Sharpshooter
# Sniper
* Enhance: Squadsight
@ Snow Job
@ Low-Light


---- Snap Shot:  You may take standard shots with your sniper rifle after moving, but you suffer severe range penalties beyond 5 tiles of squadsight range.
== LW2WotC_SnapShot
== LW2WotC_SnapShotAimModifier
::1   LW2 Sharpshooter
# Sniper
@ Snow Job
@ Low-Light

---- Precision Shot:  Take a special shot with +30 bonus to critical chance and 33% bonus critical damage. Three-turn cooldown.
::3   LW2 Sharpshooter
# Sniper
* Shot
@ Flash
@ Sci-Fi

---- GrimyPiercingShot: Fires a shot that penetrates multiple targets
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Sniper
@ Flash
@ Sci-Fi

---- GrimyRushedShot: Fire a sniper rifle shot at a random target.
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Sniper
@ Snow Job
@ Low-Light

---- GrimyThunderclap: Fire an electrified sniper rifle round at a random target
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Sniper
@ Flash

---- GrimyPointBlank: Fire your sniper rifle point blank at an enemy
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Sniper
@ Snow Job


// ================================================================================================================================================================
// Flamethrower
// @ Blowtorch
// @ Charbroil
// @ Torch
// @ Dragonsky
// ================================================================================================================================================================

---- GrimyFireWall: grants a flamethrower that ignites every floor tile
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Flamethrower
@ Charbroil
@ Torch

---- MZPocketFlamer: grants a 2 use flamethrower
:: Mitzruti's Perk Pack
# Extra Equipment
* Fire

---- Roust:  Special Flamethrower shot that does limited damage but forces enemies to change their position.
::1   LW2 Technical
# Gauntlet
# Flamethrower


---- Napalm-X:  Your Flamethrower can now disorient or panic enemies.
::2   LW2 Technical
# Gauntlet
# Flamethrower


---- Burnout:  Activating your Flamethrower leaves a small smoke cloud around your position, providing a defensive bonus.
::3   LW2 Technical
# Flamethrower


---- Phosphorus:  Your flamethrower can now damage mechanical units and shreds armor.
::4   LW2 Technical
# Flamethrower
* Shred

---- Fire and Steel:  Attacks with your gauntlet, and fires set by gauntlet weapons, do +1 damage.
::5   LW2 Technical

---- Incinerator:  Your flamethrower has an increased range of one tile and covers a wider area of effect.
::5   LW2 Technical
# Flamethrower
* Fire

---- Quickburn:  Activate so your next use of the flamethrower will not cost an action.
::6   LW2 Technical
# Flamethrower

---- Firestorm:  Once per battle, attack all units in a complete circle around the soldier's position. Also grants immunity to fire damage.
::7   LW2 Technical
# Flamethrower

// ================================================================================================================================================================
// Smoke
// @ Grand Slam
// @ Cutter
// ================================================================================================================================================================

---- LW2WotC_Smoker:  Grants one free smoke grenade item to your inventory.
::  LW2WotC Main mod

---- MZFreeSmokeGrenade:  grants a free smoke grenade
:: Mitzruti's Perk Pack
# Grenades
* Smoke
* Enhance: Light Ordnance
@ Grand Slam
@ Cutter
@ Lady Jaye

---- Dense Smoke:  Your smoke grenades confer an additional 10 defense.
== LW2WotC_DenseSmoke
::4   LW2 Grenadier
# Grenades
* Smoke
@ Cutter

---- Ghost Grenade:  A specialized smoke grenade that causes the targeted ally to enter concealment.
== LW2WotC_GhostGrenade
::7   LW2 Grenadier
# Grenades
* Smoke

---- VanishingAct:  Specialized smoke grenade that puts an ally in concealment inside a small cloud of smoke.
::  LW2WotC Main mod
# Grenades
* Smoke

---- MZAntiCritSmoke: smokes prevent critical hits
:: Mitzruti's Perk Pack
# Grenades
* Smoke

---- MZDodgeSmoke: smokes boost dodge
:: Mitzruti's Perk Pack
* Smoke
@ Grand Slam

---- MZFogWall: +1 charges per smoke, slight smoke def boost
:: Mitzruti's Perk Pack
* Smoke
@ Grand Slam

---- MZFortressSmoke: smoke protects like fortress (immune to fire, poison, acid, and explosive damage)
:: Mitzruti's Perk Pack
@ Cutter

---- MZMindShieldSmoke: smokes cleanse and potect against mental effects
:: Mitzruti's Perk Pack

// ================================================================================================================================================================
// Flashbang
// @ Shockwave
// ================================================================================================================================================================

---- MZFreeFlashGrenade:  grants a free flashbang
:: Mitzruti's Perk Pack
# Grenades
# Flashbang
* Enhance: Light Ordnance
@ Grand Slam
@ Lady Jaye
@ Shockwave

---- LW2WotC_Flashbanger:  Grants one free flashbang item to your inventory.
::  LW2WotC Main mod

---- GrimyFlashpoint: increase ammo of flashbangs by 1 and they do +2 damage
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
# Flashbang
@ Shockwave

---- Bluescreen Bombs:  Your flashbang grenades now disorient robotic units and reduce their resistance to hacking.
== LW2WotC_BluescreenBombs
::3   LW2 Grenadier
@ Lady Jaye
@ Shockwave

---- Sting Grenades:  Your flashbang grenades have a 50% chance to stun enemies for one turn in the flashbang's Area of Effect.
== LW2WotC_StingGrenades
::5   LW2 Grenadier
@ Shockwave

// ================================================================================================================================================================
// Overwatch/Reaction
// Cover Girl
// ================================================================================================================================================================

---- IsmsScoutsOverwatch:  replaces overwatch with a cone watch that fires a non-reaction shot.
:: Mitzruti's Perk Pack
:: IsmsRogue
@ Spearhead

---- Cool Under Pressure:  You gain +10 Aim on Overwatch and other reaction shots, and they can critically hit.
::5   SPARK
::5   LW2 Gunner
::3   LW2 Ranger
::5   LW2 Specialist
# Guns
# Overwatch

---- Kill Zone:  Take a reaction shot against any enemy that moves or attacks within a cone of fire.
::7   LW2 Specialist
::7   LW2 Ranger
::6   LW2 Gunner
# Guns
* Overwatch
* AOE

---- GrimySurvival: return fire and grant armour buff. 1/enemy/turn
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
* Armor
* Overwatch

---- CoveringFire:  Overwatch shots can now be triggered by any enemy action, not just movement.
::  LW2WotC Main mod

---- LW2WotC_DoubleTap:  Activate to fire a standard shot and gain a second action restricted to an additional shot or overwatching.
::  LW2WotC Main mod

---- LW2WotC_CombatAwareness:  Grants <Ability:COMBAT_AWARENESS_BONUS_DEFENSE> defense and <Ability:COMBAT_AWARENESS_BONUS_ARMOR> armor point when in overwatch.
::  LW2WotC Main mod

---- LW2WotC_RapidReaction:  When in overwatch, each shot you hit with grants another reaction fire shot, up to a maximum of <Ability:RAPID_REACTION_USES_PER_TURN/> shots.
::  LW2WotC Main mod

---- Sentinel:  When in overwatch, you may take two reaction shots.
== LW2WotC_Sentinel
::1   LW2 Specialist

---- Ever Vigilant:  If you spend all of your actions on moves, you are granted an automatic overwatch shot at the end of the turn.
::1   LW2 Ranger

---- Covering Fire:  Overwatch shots can now be triggered by any enemy action, not just movement. Targets of overwatch shots receive -10 aim for the rest of the turn whether or not the shot was triggered because of this ability.
::2   LW2 Ranger


---- Rapid Reaction:  When in overwatch, each shot you hit with grants another reaction fire shot, up to a maximum of three shots. Each enemy can only be the target of one shot.
::6   LW2 Ranger


---- Double Tap:  Fire a standard shot and gain a bonus shot or overwatch action.
::7   LW2 Sharpshooter


---- Covering Fire:  Overwatch shots can now be triggered by any enemy action, not just movement. Targets of overwatch shots receive -10 aim for the rest of the turn whether or not the shot was triggered because of this ability.
::2   LW2 Specialist

---- Ever Vigilant:  If you spend all of your actions on moves, you are granted an automatic overwatch shot at the end of the turn.
::4   LW2 Specialist

---- Combat Awareness:  Grants 15 defense and an armor point when in overwatch.
::1   SPARK

---- Guardian:  With every successful Overwatch shot, there is a 50% chance that another shot will be taken.
::4   SPARK

---- Hunter Protocol:  When an enemy is revealed, there is a 33% chance to take a free Overwatch shot.
::7   SPARK
